,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
63,0.1,2.6666666666666665,0.1,0.2,0.005,0.0,0.0,0.9,1,300,0.05085477552318621,0.06901799808310946,0.04307003268414363,0.07435692592287327,0.009684412250724576,0.0013624067308162626,0.00096614266942288,0.008959660164207368
64,0.1,2.6666666666666665,0.1,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.0383021149706773,0.07934992432729418,0.04655027904578095,0.07163767835323176,0.012155332140306275,0.001335849677934957,0.0021550147398190322,0.007450464630652394
65,0.1,2.6666666666666665,0.1,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.035792874435653,0.08167657837310108,0.05108298051294875,0.06818641236083361,0.01622703419334112,0.0018030701007037118,0.0026397203218881337,0.01009147187424987
66,0.1,2.6666666666666665,0.1,0.4,0.005,0.0,0.0,0.97,1,300,0.0409120590646244,0.09820079569462348,0.05092618564499994,0.06850666403160524,0.01482761503498465,0.0010898942050031094,0.0030063592046414528,0.007383646767240629
67,0.1,2.6666666666666665,0.1,0.4,0.005,0.0,0.0,0.9,1,300,0.03941242933105145,0.10009449007336083,0.054815324161403625,0.06562589256893755,0.018915515727437576,0.0017025912426979859,0.0034452441960670568,0.009895210234215685
68,0.1,2.6666666666666665,0.1,0.5,0.005,0.0,0.0,0.97,1,300,0.039158160062101335,0.10036587677038289,0.053300645694964885,0.06685235605948765,0.017334008109189863,0.001006237972102723,0.0038755079389498864,0.007643764282349379
69,0.1,2.6666666666666665,0.1,0.5,0.005,0.0,0.0,0.9,1,300,0.0378181351654643,0.10225473594092187,0.05693715225113116,0.06429920045505891,0.01981030367451154,0.0015684752898785486,0.0038503698873380452,0.009535786042209915
70,0.1,2.6666666666666665,0.30000000000000004,0.1,0.005,0.0,0.0,0.97,1,300,,,,,1.160464447404063e-05,1.1604644474040633e-05,,
71,0.1,2.6666666666666665,0.30000000000000004,0.1,0.005,0.0,0.0,0.9,1,300,,,,,7.396640798813633e-06,7.396640798813633e-06,,
72,0.1,2.6666666666666665,0.30000000000000004,0.2,0.005,0.0,0.0,0.97,1,300,0.080784809942421,0.03570691079284173,0.060345381071916296,0.05546708831512341,0.0003754906523732687,0.00011373720869760928,4.6329806940692e-05,0.00045750985448253273
73,0.1,2.6666666666666665,0.30000000000000004,0.2,0.005,0.0,0.0,0.9,1,300,0.08079122383669346,0.036377603067045704,0.06037532413339659,0.05587469618939307,0.0006640449353013787,0.00033437142523446177,6.051788219489043e-05,0.000903897812406979
74,0.1,2.6666666666666665,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.09061283817776038,0.028983283103423137,0.05317021301975437,0.06644710644778015,0.0005411272831267917,0.0006236675589495769,0.00013238299092902827,0.0011693320066170293
75,0.1,2.6666666666666665,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.08898081868823196,0.03695550477823478,0.053700185393474584,0.06618449035671606,0.0008796092792227861,0.0009377627434918849,5.5010213394361145e-05,0.0019347919172595374
76,0.1,2.6666666666666665,0.30000000000000004,0.4,0.005,0.0,0.0,0.97,1,300,0.0779421165256387,0.04358595691973051,0.03360042173313019,0.08239983007237461,0.002863614140491523,0.001078938629526641,0.00011432647361996678,0.005198574086634657
77,0.1,2.6666666666666665,0.30000000000000004,0.4,0.005,0.0,0.0,0.9,1,300,0.07745697108536037,0.043686113740955726,0.036117937401889594,0.08025463535117458,0.002985682643122002,0.001465422526949327,0.00011132916750035669,0.006484533386189877
78,0.1,2.6666666666666665,0.30000000000000004,0.5,0.005,0.0,0.0,0.97,1,300,0.06295248566175159,0.0537111008963255,0.03482978528022737,0.08157552448556678,0.006318770724332525,0.0011346082964060547,0.0005404584423613115,0.0070592830230081435
79,0.1,2.6666666666666665,0.30000000000000004,0.5,0.005,0.0,0.0,0.9,1,300,0.061866880015010006,0.054169136476443246,0.03893792717976576,0.07793057050577856,0.005481316291550762,0.0008970071414027914,0.00022696428903745976,0.007050511336868087
80,0.1,2.6666666666666665,0.5,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
81,0.1,2.6666666666666665,0.5,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
82,0.1,2.6666666666666665,0.5,0.2,0.005,0.0,0.0,0.97,1,300,0.0772192145300596,0.042349940769167274,0.06005143724020585,0.05689973791119231,5.926062047006253e-05,0.00010472450760852024,5.3483312420436556e-05,9.296529275806375e-05
83,0.1,2.6666666666666665,0.5,0.2,0.005,0.0,0.0,0.9,1,300,0.07724166058423615,0.04292504282384523,0.060426995177846124,0.056925353815228875,6.26910289262617e-05,0.00011120720214817851,4.9018446887933435e-05,9.133365543951186e-05
84,0.1,2.6666666666666665,0.5,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.07749489943905062,0.0388692807955128,0.058823509192987344,0.05698731015045677,0.00048041065363159234,0.0002028965548396632,0.00010067825874879809,0.0005487613551549117
85,0.1,2.6666666666666665,0.5,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.07746519010296085,0.039328051236178746,0.05932003952699307,0.057135218706191274,0.0004466494431895463,0.00021198956438020128,3.517884801494852e-05,0.000697532932829075
86,0.1,2.6666666666666665,0.5,0.4,0.005,0.0,0.0,0.97,1,300,0.087290249533007,0.031005641204845093,0.06363916387498163,0.05992235894657465,0.0004905489188237356,0.0002931223171906575,0.0001337951194863088,0.0005417484895049815
87,0.1,2.6666666666666665,0.5,0.4,0.005,0.0,0.0,0.9,1,300,0.0870592779836174,0.031684585109824207,0.0637264716743833,0.0600168528070957,0.0007290892655506399,0.000523322235912637,0.00013433987712324977,0.0008927743014078252
88,0.1,2.6666666666666665,0.5,0.5,0.005,0.0,0.0,0.97,1,300,0.09061283817776039,0.028983283103423137,0.05317021301975437,0.06644710644778015,0.0005411272831267921,0.0006236675589495766,0.00013238299092902843,0.0011693320066170304
89,0.1,2.6666666666666665,0.5,0.5,0.005,0.0,0.0,0.9,1,300,0.08898081868823196,0.036955504778234755,0.0537001853934746,0.06618449035671604,0.0008796092792227869,0.0009377627434918863,5.501021339436147e-05,0.001934791917259541
90,0.1,3.0,0.1,0.1,0.005,0.0,0.0,0.97,1,300,0.09150431022354008,0.028782808881999567,0.054986386732827956,0.06520223751880429,0.00045607175051606483,0.0006766106242105019,0.00014194379451171174,0.0010288170034480008
91,0.1,3.0,0.1,0.1,0.005,0.0,0.0,0.9,1,300,0.08993620568803382,0.03679493989560179,0.055438520714968555,0.06513118865247713,0.0007967935022212547,0.0010169636570609027,6.039834869350666e-05,0.001767046297857504
92,0.1,3.0,0.1,0.2,0.005,0.0,0.0,0.97,1,300,0.0542680005766894,0.06683993989287139,0.037507679051371874,0.07917874586157891,0.010020848894853326,0.0012039668395064434,0.0012189779627011733,0.0083449992956123
